,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,75,KI,1586040213,78,3.07,172.79,28.45,5.6
1,barentu,5,ER,1586040214,44,15.11,37.59,22.58,1.12
2,sao filipe,53,IN,1586040214,29,20.51,76.21,25.99,1.48
3,cape town,0,CL,1586040214,35,-36.41,-71.9,22.0,4.6
4,marawi,14,PH,1586040214,56,8.0,124.29,24.03,0.94
5,khatanga,94,RU,1586040215,98,71.97,102.5,-4.79,4.88
6,bluff,88,NZ,1586040215,61,-46.6,168.33,18.33,2.24
7,bambous virieux,75,MU,1586040215,78,-20.26,57.41,26.0,3.6
8,vaini,75,TO,1586040215,69,-21.2,-175.2,27.0,4.1
9,barrow,90,US,1586040001,78,71.29,-156.79,-8.0,4.6
10,busselton,100,AU,1586040216,38,-33.65,115.33,16.11,6.07
11,hobart,75,AU,1586040025,70,-42.88,147.33,7.22,2.1
12,tuktoyaktuk,20,CA,1586040216,66,69.45,-133.04,-11.0,5.7
13,mount gambier,79,GB,1586040216,57,53.66,-1.85,10.56,2.6
14,komsomolskiy,87,UZ,1586040217,58,40.43,71.72,13.0,2.1
15,bomi,11,SL,1586040217,86,7.25,-11.53,27.14,2.29
16,ushuaia,40,AR,1586040141,75,-54.8,-68.3,5.0,7.7
17,ocos,5,GT,1586040217,62,14.51,-92.19,32.0,5.1
18,castro,0,BR,1586040217,52,-24.79,-50.01,14.18,0.91
19,puerto ayora,26,ES,1586040218,72,36.59,-6.23,16.0,8.7
20,mataura,83,NZ,1586040218,61,-46.19,168.86,18.33,2.24
21,hilo,20,US,1586040189,65,19.73,-155.09,28.0,5.7
22,rocha,0,UY,1586040218,81,-34.48,-54.33,14.25,1.94
23,saint-joseph,10,RE,1586040219,78,-21.37,55.62,25.0,3.1
24,ribeira grande,94,ES,1586040219,62,42.75,-8.44,17.22,4.6
25,kodiak,90,US,1586040219,27,57.79,-152.41,12.0,3.6
26,novopokrovka,0,UA,1586040219,64,49.84,36.55,4.33,2.7
27,ibra,51,OM,1586040220,36,22.69,58.53,26.69,1.78
28,helong,0,CN,1586040220,55,42.54,129.0,1.3,4.75
29,salalah,40,OM,1586040220,83,17.02,54.09,26.0,1.5
30,new norfolk,75,LR,1586040044,88,6.65,-10.59,27.0,1.41
31,albany,90,US,1586040085,45,42.6,-73.97,17.0,2.6
32,jamestown,90,US,1586039978,62,42.1,-79.24,14.0,2.6
33,katsuura,75,JP,1586040221,81,35.13,140.3,15.0,6.7
34,miri,75,MY,1586040221,100,4.41,114.01,26.0,1.5
35,faya,33,SA,1586040221,59,18.39,42.45,18.0,1.37
36,coihaique,90,CL,1586040221,76,-45.58,-72.07,9.0,2.6
37,torbay,90,CA,1586040222,86,47.67,-52.73,-1.11,5.1
38,kalmunai,65,LK,1586040222,81,7.42,81.82,26.91,2.18
39,whitefish,75,US,1586040222,35,48.41,-114.34,6.11,4.1
40,kokkola,24,FI,1586040223,54,63.84,23.13,0.0,4.1
41,arlit,1,NE,1586040223,10,18.74,7.39,29.39,3.08
42,pleszew,0,PL,1586040223,71,51.9,17.79,2.22,1.57
43,east london,90,IS,1586040223,92,65.0,-15.0,-6.0,10.3
44,punta arenas,0,PH,1586040224,67,8.99,125.34,26.38,1.77
45,port keats,9,CD,1586040128,61,-7.03,29.76,22.44,1.41
46,valparaiso,75,CL,1586040149,82,-33.04,-71.63,16.0,3.1
47,dhidhdhoo,100,MV,1586040133,71,6.88,73.1,28.74,2.42
48,barabai,54,ID,1586040225,74,-2.58,115.38,27.34,0.52
49,rikitea,66,PF,1586040225,81,-23.12,-134.97,24.51,8.31
50,xuchang,99,CN,1586040225,70,34.02,113.82,8.0,1.0
51,nantucket,90,US,1586040165,75,41.28,-70.1,6.11,9.8
52,coahuayana,5,MX,1586040226,35,18.73,-103.68,32.0,5.1
53,luderitz,67,NA,1586040226,100,-26.65,15.16,14.0,4.1
54,yellowknife,20,CA,1586040226,51,62.46,-114.35,-11.0,3.6
55,sur,49,OM,1586040226,39,22.57,59.53,27.77,2.69
56,mar del plata,85,ES,1586040227,34,43.4,-4.01,20.0,4.6
57,ugoofaaru,98,MV,1586040227,64,5.67,73.0,29.17,2.25
58,paamiut,100,GL,1586040227,82,61.99,-49.67,-2.25,10.66
59,domoni,15,KM,1586040227,74,-12.26,44.53,27.83,3.45
60,shache,19,CN,1586040228,28,38.42,77.24,9.36,1.56
61,liwale,4,TZ,1586040228,84,-9.77,37.93,20.08,0.94
62,bredasdorp,9,ZA,1586040228,87,-34.53,20.04,17.22,2.1
63,vanavara,1,RU,1586040228,93,60.34,102.28,-4.68,3.38
64,conway,90,US,1586040228,87,35.09,-92.44,15.56,2.1
65,tiksi,99,RU,1586040229,93,71.69,128.87,-12.3,3.68
66,burnie,98,AU,1586040229,97,-41.07,145.92,5.0,5.81
67,hermanus,34,ZA,1586040229,96,-34.42,19.23,17.22,0.89
68,maceio,96,BR,1586040072,88,-9.67,-35.74,27.0,3.6
69,laguna,90,US,1586040230,87,38.42,-121.42,15.56,4.1
70,fort nelson,13,NL,1586040230,56,52.65,6.39,8.33,1.5
71,tocache,27,PE,1586040230,67,-8.18,-76.51,24.4,0.03
72,floro,100,NO,1586039932,74,61.6,5.03,3.0,9.8
73,nikolskoye,75,RU,1586040231,64,59.7,30.79,1.0,4.0
74,bethel,90,US,1586040231,54,41.37,-73.41,15.56,3.1
75,merauke,3,ID,1586040231,73,-8.47,140.33,28.52,3.63
76,arraial do cabo,0,BR,1586040231,41,-22.84,-46.65,25.0,2.6
77,kahului,20,US,1586040232,55,20.89,-156.47,31.0,6.7
78,nizhniy kuranakh,99,RU,1586040232,56,45.39,39.24,7.78,2.0
79,nizwa,47,OM,1586040232,34,22.93,57.53,26.37,0.72
80,chuy,0,UY,1586040232,75,-33.7,-53.46,17.57,2.55
81,sulphur springs,90,US,1586040232,73,30.24,-93.38,23.0,2.6
82,cabo san lucas,40,BR,1586040233,79,-8.28,-35.03,29.0,2.1
83,borzya,44,RU,1586040233,45,50.38,116.52,2.07,2.67
84,port elizabeth,9,CD,1586040128,61,-7.03,29.76,22.44,1.41
85,tuatapere,99,NZ,1586040233,61,-46.13,167.68,18.33,2.24
86,amapa,99,BR,1586040234,94,1.0,-52.0,23.94,1.36
87,okato,13,NZ,1586040234,57,-39.2,173.88,17.22,1.34
88,mbamba,52,NG,1586040234,37,9.98,13.1,26.89,2.21
89,at-bashi,1,KG,1586040234,33,41.17,75.81,0.19,1.99
90,sukhobezvodnoye,23,RU,1586040235,93,57.05,44.89,-0.98,2.42
91,rio gallegos,75,GR,1586040235,76,38.3,21.78,11.0,2.1
92,leningradskiy,100,RU,1586040235,89,69.38,178.42,-17.19,8.25
93,port alfred,9,CD,1586040128,61,-7.03,29.76,22.44,1.41
94,ixtapa,75,MX,1586040236,74,20.7,-105.2,26.11,6.2
95,robertsport,4,LR,1586040236,87,6.75,-11.37,27.33,3.2
96,esperance,82,AU,1586040236,93,-33.87,121.9,10.0,3.1
97,iqaluit,5,CA,1586040237,70,63.75,-68.51,-17.78,12.9
98,playas,42,EC,1586040237,79,-2.63,-80.38,25.26,4.03
99,hrebinka,4,UA,1586040237,68,50.12,32.44,3.4,2.83
100,wajir,19,KE,1586040237,67,1.75,40.06,26.66,5.98
101,guerrero negro,7,MX,1586040237,22,17.67,-100.0,29.24,1.27
102,pundaguitan,1,PH,1586040238,77,6.37,126.17,27.21,5.44
103,aykhal,90,RU,1586040238,85,66.0,111.5,-11.0,3.0
104,lagoa,19,PT,1586040238,72,39.05,-27.98,14.72,5.51
105,namibe,0,AO,1586040238,69,-15.2,12.15,23.64,3.11
106,moose factory,1,US,1586040238,29,43.66,-110.72,7.0,5.1
107,grand gaube,1,US,1586040239,15,38.88,-109.5,19.44,3.1
108,faanui,2,PF,1586040239,71,-16.48,-151.75,28.65,3.64
109,saint-pierre,3,RE,1586040239,78,-21.34,55.48,25.0,3.1
110,oyo,91,NG,1586040240,81,7.85,3.93,24.72,2.63
111,trim,40,IE,1586040240,66,53.55,-6.79,10.0,7.7
112,pyu,41,MM,1586040240,57,18.48,96.43,22.17,1.21
113,whitehorse,75,CA,1586040127,46,60.72,-135.05,0.56,1.5
